fat,calories,protein,rating,sodium,len_directions,len_ingredients,cluster
70.0,1007.0,63.0,3.75,713.0,1,6,5
25.0,268.0,6.0,0.0,60.0,1,6,11
1.0,29.0,4.0,5.0,57.0,6,11,0
1.0,175.0,1.0,0.0,6.0,3,5,14
44.0,860.0,8.0,5.0,343.0,4,14,5
17.0,288.0,4.0,4.375,130.0,3,11,0
9.0,129.0,1.0,4.375,34.0,7,11,0
11.0,140.0,1.0,4.375,18.0,2,8,0
5.0,80.0,2.0,4.375,10.0,3,9,0
40.0,593.0,47.0,4.375,318.0,2,8,12
19.0,430.0,9.0,3.125,364.0,3,8,0
28.0,395.0,1.0,5.0,88.0,1,4,0
37.0,910.0,31.0,4.375,1018.0,5,9,5
21.0,324.0,24.0,4.375,104.0,2,11,12
19.0,309.0,5.0,4.375,73.0,7,10,0
11.0,268.0,6.0,3.75,65.0,1,3,0
4.0,47.0,2.0,4.375,25.0,3,12,14
7.0,105.0,1.0,3.125,31.0,3,6,0
31.0,845.0,119.0,3.75,463.0,2,9,4
12.0,277.0,5.0,3.75,15.0,1,3,0
0.0,88.0,1.0,0.0,2.0,1,9,14
53.0,687.0,38.0,5.0,1351.0,7,18,5
20.0,354.0,32.0,4.375,674.0,5,3,12
25.0,385.0,7.0,3.75,110.0,10,11,8
0.0,32.0,1.0,5.0,23.0,1,4,14
4.0,101.0,5.0,2.5,193.0,1,5,0
17.0,238.0,5.0,4.375,2.0,5,9,0
27.0,314.0,11.0,5.0,484.0,5,11,12
11.0,117.0,1.0,3.75,74.0,1,3,0
72.0,1010.0,54.0,4.375,689.0,6,14,5
100.0,1279.0,65.0,4.375,348.0,2,11,5
20.0,329.0,4.0,3.75,31.0,4,8,0
9.0,143.0,6.0,3.75,143.0,2,7,0
10.0,153.0,5.0,3.75,53.0,2,6,0
31.0,782.0,115.0,4.375,231.0,5,9,5
9.0,100.0,2.0,3.75,153.0,1,6,0
38.0,651.0,29.0,4.375,2640.0,9,30,5
11.0,324.0,14.0,3.75,317.0,5,15,0
23.0,296.0,8.0,3.75,1564.0,3,10,12
23.0,909.0,30.0,5.0,1302.0,13,13,8
29.0,366.0,18.0,4.375,865.0,3,11,12
0.0,253.0,1.0,3.75,7.0,2,4,14
17.0,221.0,6.0,4.375,52.0,2,8,0
26.0,506.0,29.0,4.375,1117.0,4,13,12
31.0,338.0,5.0,0.0,574.0,5,10,11
1.0,68.0,1.0,5.0,5.0,8,7,14
18.0,648.0,5.0,4.375,109.0,8,9,8
61.0,878.0,48.0,4.375,251.0,4,9,12
9.0,209.0,9.0,3.75,246.0,9,7,8
20.0,240.0,14.0,3.75,145.0,6,11,12
26.0,487.0,14.0,3.75,148.0,3,8,0
19.0,323.0,23.0,3.75,1505.0,3,8,12
5.0,150.0,8.0,4.375,937.0,4,9,12
1.0,50.0,4.0,4.375,344.0,4,18,0
1.0,45.0,2.0,4.375,166.0,3,13,0
4.0,288.0,7.0,4.375,764.0,6,6,5
21.0,428.0,24.0,5.0,445.0,5,17,12
27.0,431.0,25.0,5.0,214.0,4,15,12
48.0,1015.0,6.0,3.125,485.0,5,18,8
1.0,21.0,0.0,3.75,38.0,3,5,14
1.0,59.0,2.0,3.75,655.0,1,9,11
34.0,814.0,11.0,4.375,170.0,6,16,8
106.0,1552.0,60.0,3.75,3916.0,6,18,4
39.0,682.0,28.0,4.375,1316.0,5,11,5
9.0,105.0,6.0,3.75,281.0,2,3,0
48.0,871.0,93.0,3.75,248.0,1,6,5
26.0,460.0,15.0,5.0,66.0,9,14,8
11.0,158.0,3.0,5.0,38.0,6,12,0
38.0,553.0,48.0,5.0,97225.0,5,11,10
3.0,61.0,2.0,4.375,7.0,2,4,14
10.0,127.0,3.0,3.125,20.0,2,5,0
80.0,1012.0,57.0,5.0,1287.0,8,14,5
16.0,202.0,7.0,4.375,187.0,3,7,0
32.0,586.0,32.0,4.375,1585.0,8,17,5
10.0,537.0,20.0,4.375,246.0,4,9,5
8.0,180.0,3.0,4.375,21.0,2,5,0
11.0,115.0,1.0,4.375,74.0,1,7,0
32.0,435.0,9.0,0.0,1664.0,9,22,4
14.0,247.0,4.0,4.375,113.0,4,9,0
13.0,310.0,4.0,4.375,132.0,6,10,0
43.0,441.0,11.0,3.75,706.0,1,6,12
3.0,43.0,1.0,0.0,55.0,2,4,14
1.0,14.0,0.0,3.75,4.0,4,5,14
6.0,168.0,8.0,3.75,222.0,3,8,0
12.0,180.0,3.0,4.375,42.0,1,7,0
8.0,144.0,4.0,3.125,165.0,3,7,0
11.0,115.0,1.0,3.75,11.0,3,5,0
24.0,265.0,12.0,2.5,721.0,10,10,8
12.0,334.0,18.0,4.375,1645.0,6,17,12
3.0,153.0,1.0,4.375,149.0,1,8,0
15.0,261.0,3.0,3.75,119.0,4,9,0
3.0,194.0,2.0,3.75,697.0,1,9,12
55.0,513.0,1.0,4.375,453.0,1,7,12
4.0,87.0,1.0,3.75,26.0,6,8,14
1.0,230.0,2.0,4.375,8.0,1,7,14
0.0,38.0,1.0,3.75,7.0,2,6,14
38.0,495.0,30.0,4.375,421.0,6,10,12
24.0,508.0,11.0,3.75,156.0,1,5,0
38.0,445.0,24.0,3.75,662.0,3,10,12
28.0,588.0,66.0,4.375,350.0,4,14,12
28.0,337.0,8.0,5.0,302.0,3,8,0
39.0,837.0,104.0,5.0,2198.0,7,20,5
9.0,169.0,4.0,3.75,990.0,5,14,12
25.0,661.0,21.0,3.75,979.0,7,11,8
30.0,433.0,13.0,4.375,601.0,2,8,12
1.0,41.0,1.0,3.125,2323.0,2,9,11
27.0,364.0,19.0,4.375,318.0,5,16,12
29.0,485.0,41.0,3.75,120.0,2,9,12
1.0,189.0,8.0,3.75,99.0,1,5,0
3.0,156.0,1.0,1.25,39.0,4,8,14
1.0,23.0,0.0,2.5,31.0,1,5,14
1.0,69.0,0.0,4.375,0.0,3,4,14
36.0,652.0,8.0,3.125,365.0,8,28,8
16.0,219.0,6.0,3.125,129.0,2,8,0
8.0,213.0,3.0,5.0,612.0,1,5,11
123.0,1919.0,29.0,5.0,610.0,1,7,5
0.0,131.0,1.0,5.0,5.0,2,4,14
45.0,499.0,18.0,2.5,674.0,4,7,12
10.0,159.0,7.0,4.375,539.0,1,6,0
18.0,333.0,11.0,4.375,131.0,7,9,0
1.0,262.0,2.0,4.375,438.0,3,14,0
40.0,1137.0,8.0,3.75,174.0,4,18,5
53.0,834.0,49.0,4.375,919.0,1,8,5
4.0,437.0,11.0,4.375,643.0,4,13,5
12.0,194.0,4.0,5.0,713.0,1,7,11
0.0,121.0,1.0,3.75,6.0,2,4,14
0.0,32.0,1.0,3.75,363.0,3,8,0
